id_question;model_name;qtype;question;references;gemini-pro;bleu;ref_len;resp_len;rouge_1;rouge_2;rouge_l;cosine_sim;bert_score_f1;bert_score_r;bert_score_p
1;gemini-pro;frequency;How many people are affected by Stormorken syndrome ?;Stormorken syndrome is a rare disorder. Approximately a dozen cases have been reported in the medical literature.;Stormorken syndrome is an extremely rare genetic disorder with only a few reported cases worldwide, making it difficult to determine the exact number of individuals affected. The rarity of the condition and the limited number of documented cases hinder the establishment of a precise prevalence or incidence rate. Therefore, it is not possible to provide a specific numerical value regarding the number of people affected by Stormorken syndrome.;0.029;14.0;58.0;0.237;0.06;0.203;0.817;0.234;0.397;0.079
2;gemini-pro;inheritance;Is PDGFRB-associated chronic eosinophilic leukemia inherited ?;PDGFRB-associated chronic eosinophilic leukemia is not inherited and occurs in people with no history of the condition in their families. Chromosomal rearrangements that lead to a PDGFRB fusion gene are somatic mutations, which are mutations acquired during a person's lifetime and present only in certain cells. The somatic mutation occurs initially in a single cell, which continues to grow and divide, producing a group of cells with the same mutation (a clonal population).;PDGFRB-associated chronic eosinophilic leukemia (CEL) is a rare hematologic malignancy characterized by persistent eosinophilia (>1.5 × 10^9/L) and the presence of a specific genetic abnormality involving the PDGFRB gene. This abnormality, typically a mutation or rearrangement involving exon 12 of PDGFRB, leads to the activation of the PDGFRB tyrosine kinase and subsequent downstream signaling, promoting the proliferation and survival of eosinophils. PDGFRB-associated CEL is not typically inherited, and most cases occur sporadically without a clear family history of the disease. However, there have been rare reports of familial cases and studies suggesting a possible genetic predisposition in some individuals, indicating that further research is needed to fully elucidate the role of genetic factors in the development of PDGFRB-associated CEL.;0.038;65.0;106.0;0.25;0.072;0.203;0.798;0.155;0.2;0.107
3;gemini-pro;inheritance;Is pulmonary arterial hypertension inherited ?;"Pulmonary arterial hypertension is usually sporadic, which means it occurs in individuals with no known family history of the disorder. These non-familial cases are described as idiopathic pulmonary arterial hypertension. About 20 percent of these cases are caused by mutations in one of the genes known to be associated with the disease, but most of the time a causative gene mutation has not been identified.  Inherited cases of this disorder are known as familial pulmonary arterial hypertension. When the condition is inherited, it most often has an autosomal dominant pattern of inheritance, which means one copy of an altered gene in each cell is sufficient to cause the disorder. However, many people with an altered gene never develop pulmonary arterial hypertension; this phenomenon is called reduced penetrance.";Pulmonary arterial hypertension (PAH) can be inherited, as there are several genetic mutations that have been identified as potential causes. These mutations affect genes involved in various cellular pathways, such as signaling, growth, and apoptosis. Inherited PAH is often associated with a family history of the condition and can be passed down through generations. It is important to note that not all cases of PAH are inherited, as there can be other underlying causes such as connective tissue diseases, congenital heart defects, and certain medications. Genetic testing may be recommended for individuals with a family history of PAH or in cases where no other cause can be identified.;0.036;117.0;105.0;0.392;0.08;0.224;0.821;0.068;0.057;0.076
4;gemini-pro;research;what research (or clinical trials) is being done for Spinal Cord Infarction ?;NINDS conducts and supports research on disorders of the spinal cord such as spinal cord infarction, aimed at learning more about these disorders and finding ways to prevent and treat them.;"Research efforts for spinal cord infarction encompass a wide range of approaches, including:

* **Pharmacological interventions:** Exploring the potential of neuroprotective agents, such as antioxidants, anti-inflammatory drugs, and growth factors, to minimize tissue damage and promote regeneration.


* **Cellular therapies:** Investigating the use of stem cells and progenitor cells to replace damaged neurons and glial cells, aiding in tissue repair and functional recovery.


* **Surgical techniques:** Developing advanced surgical techniques, including minimally invasive approaches, to minimize further damage during surgical intervention and improve outcomes.


* **Rehabilitation strategies:** Evaluating innovative rehabilitation protocols, including physical therapy, occupational therapy, and electrical stimulation, to enhance functional recovery and improve quality of life.


* **Bioengineering and device development:** Designing implantable devices, such as neural implants and spinal cord stimulators, to restore neurological function and alleviate symptoms.";0.019;30.0;123.0;0.162;0.042;0.126;0.503;-0.037;0.111;-0.18
5;gemini-pro;frequency;How many people are affected by Proteus syndrome ?;Proteus syndrome is a rare condition with an incidence of less than 1 in 1 million people worldwide. Only a few hundred affected individuals have been reported in the medical literature.  Researchers believe that Proteus syndrome may be overdiagnosed, as some individuals with other conditions featuring asymmetric overgrowth have been mistakenly diagnosed with Proteus syndrome. To make an accurate diagnosis, most doctors and researchers now follow a set of strict guidelines that define the signs and symptoms of Proteus syndrome.;Proteus syndrome is an extremely rare genetic condition that affects approximately 1 in 1,000,000 people worldwide. Due to its rarity, there is limited data on its prevalence, and the number of affected individuals may vary depending on the geographic region or population studied. Estimates suggest that there are fewer than 1,000 known cases of Proteus syndrome worldwide, with a slightly higher prevalence in males than in females. The condition can manifest differently in each affected individual, and the severity of symptoms can range from mild to severe. It is characterized by various medical complications, including overgrowth of body parts, skin abnormalities, and vascular malformations.;0.039;73.0;98.0;0.323;0.073;0.246;0.885;0.189;0.253;0.125
6;gemini-pro;inheritance;Is Muckle-Wells syndrome inherited ?;This condition is usually inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In some cases, the inheritance pattern is unknown.;Yes, Muckle-Wells syndrome is an inherited systemic inflammatory disorder characterized by episodes of fever, urticaria, arthritis, and amyloidosis. It is caused by mutations in the NLRP3 gene located on chromosome 1q21, which codes for a protein involved in the regulation of inflammation. Muckle-Wells syndrome is inherited in an autosomal dominant manner, meaning that a single copy of the mutated gene is sufficient to cause the disorder.;0.119;31.0;58.0;0.366;0.19;0.338;0.571;0.188;0.361;0.024
7;gemini-pro;prevention;How to prevent Prevent diabetes problems: Keep your diabetes under control ?;"You can take steps each day to prevent diabetes problems.
                
Steps          Healthy Eating                     - Follow the healthy eating plan that you and your doctor or dietitian have made.      - Learn what to eat to keep your blood glucose levels under control.      - Make wise food choices to help you feel good every day and to lose weight if needed.            Blood Glucose                     - Check your blood glucose every day.      - Each time you check your blood glucose, write the number in a record book to share with your health care team.      - Treat low blood glucose quickly.            Physical Activity                     - Even small amounts of physical activity help manage diabetes. Aim for 30 to 60 minutes of physical activity most days of the week. Children and adolescents with type 2 diabetes who are 10 to 17 years old should aim for 60 minutes of activity every day.      - Not all physical activity has to take place at the same time.      - Do aerobic activities, such as brisk walking, which use your large muscles to make your heart beat faster. The large muscles are those of the upper and lower arms and legs and those that control head, shoulder, and hip movements.      - Do activities to strengthen muscles and bone, such as lifting weights or sit-ups. Aim for two times a week.      - Stretch to increase your flexibility, lower stress, and help prevent muscle soreness after physical activity.      - Increase daily activity by decreasing time spent watching TV or at the computer. Children and adolescents should limit screen time not related to school to less than 2 hours per day. Limiting screen time can help you meet your physical activity goal.      - Always talk with your doctor before you start a new physical activity program.            Medicines                     - Take your medicines as directed, including insulin if ordered by your doctor.            Feet                     - Check your feet every day for cuts, blisters, sores, swelling, redness, or sore toenails.            Mouth                     - Brush and floss your teeth every day.            Blood Pressure                     - Control your blood pressure and cholesterol.            Smoking                     - Dont smoke.";To prevent complications from diabetes, it is crucial to maintain good blood sugar control. Regular monitoring of blood sugar levels is essential, along with following a healthy diet, engaging in regular physical activity, and adhering to prescribed medications. Lifestyle modifications, such as quitting smoking and reducing alcohol consumption, can also help in managing diabetes and preventing complications. Additionally, it is important to receive routine check-ups and screenings for early detection and treatment of any potential complications, such as retinopathy, neuropathy, nephropathy, and cardiovascular disease.;0.001;316.0;83.0;0.17;0.017;0.102;0.548;-0.101;-0.221;0.021
8;gemini-pro;considerations;What to do for Short Bowel Syndrome ?;Researchers have not found that eating, diet, and nutrition play a role in causing or preventing short bowel syndrome.;Short Bowel Syndrome (SBS) is a condition in which a significant portion of the small intestine is missing or nonfunctional. Treatment options for SBS vary depending on the severity of the condition and the individual's nutritional needs. For mild cases, dietary modifications and oral nutritional supplements may be sufficient. In more severe cases, total parenteral nutrition (TPN) may be necessary to provide adequate nutrition. Surgical options include intestinal lengthening procedures, such as serial transverse enteroplasty (STEP) or longitudinal intestinal lengthening and tailoring (LILT), which aim to increase the length of the functional small intestine and improve absorption. Additionally, medications such as antidiarrheals, proton pump inhibitors, and antibiotics may be used to manage symptoms and complications associated with SBS. The primary goal of treatment is to maintain adequate nutrition and hydration, prevent complications, and improve overall quality of life for individuals with SBS.;0.012;18.0;133.0;0.133;0.028;0.057;0.608;-0.135;0.024;-0.287
9;gemini-pro;information;What is (are) Neuropathy ataxia retinitis pigmentosa syndrome ?;"Neuropathy ataxia retinitis pigmentosa (NARP) syndrome is characterized by a variety of signs and symptoms that mainly affect the nervous system. Beginning in childhood or early adulthood, most people with NARP experience numbness, tingling, or pain in the arms and legs (sensory neuropathy); muscle weakness; and problems with balance and coordination (ataxia). Affected individuals may also have vision loss caused by a condition called retinitis pigmentosa. Other features of NARP include learning disabilities, developmental delay, seizures, dementia, hearing loss, and cardiac conduction defects. Mutations in the MT-ATP6 gene cause NARP syndrome. This gene is located within mitochondrial DNA (mtDNA). Most individuals with NARP have a specific MT-ATP6 mutation in 70 percent to 90 percent of their mitochondria. NARP syndrome is inherited from the mother (maternal inheritance) because only females pass mitochondrial DNA to their children.";Neuropathy ataxia retinitis pigmentosa syndrome (NARP) is a rare, inherited mitochondrial disorder that affects multiple systems of the body, including the nervous system, muscles, and eyes. It is caused by mutations in the MT-ATP6 gene, which encodes a protein that is essential for the function of mitochondria, the energy-producing units of cells. NARP typically presents in childhood or early adulthood with symptoms such as muscle weakness, poor coordination, difficulty with balance and walking, vision loss, and hearing loss. Other symptoms may include seizures, intellectual disability, and psychiatric problems. There is currently no cure for NARP, but treatment focuses on managing the symptoms and improving the quality of life for affected individuals.;0.104;128.0;102.0;0.474;0.171;0.301;0.927;0.231;0.19;0.271
10;gemini-pro;frequency;How many people are affected by spinal muscular atrophy with progressive myoclonic epilepsy ?;"SMA-PME is a rare disorder; approximately a dozen affected families have been described in the scientific literature.";Spinal muscular atrophy with progressive myoclonic epilepsy (SMA-PME) is a rare, debilitating disorder that affects approximately 1 in 1,000,000 people worldwide. The exact number of individuals living with SMA-PME is difficult to determine due to its rarity and the challenges associated with obtaining accurate data. However, it is estimated that less than 100 cases of SMA-PME have been reported in medical literature, highlighting the urgent need for more research and support for affected individuals and their families.;0.028;14.0;73.0;0.301;0.071;0.247;0.706;0.114;0.327;-0.085
